source,page,index,title,conf,review,ocr_raw,alt_title,y0,y1,x0,x1,current_file
AGJ.pdf,7,1,AC-CENT-TCHU-ATE THE POSITIVE,0.98,,N H FHEOTIVE,AC-CENT-TCHU-ATE THE POSITIVE,0,969,0,2481,7_01_AC_CENT_TCHU_ATE_THE_POSITIVE.png
AGJ.pdf,7,2,ACHIN' HEARTED BLUES,0.11,yes,O Z,ACHIN' HEARTED BLUES,945,2676,0,2481,7_02_ACHIN_HEARTED_BLUES.png
AGJ.pdf,7,3,AFTER I SAY I'M SORRY,0.68,,FTERSAYMSORRYWHATCANSAYAFTERSAY,AFTER I SAY I'M SORRY,2652,2835,0,2481,7_03_AFTER_I_SAY_I_M_SORRY.png
AGJ.pdf,8,1,AFTERNOON IN PARIS,0.90,,A,AFTERNOON IN PARIS,0,696,0,2481,8_01_AFTERNOON_IN_PARIS.png
AGJ.pdf,8,2,AFTER YOU'VE GONE,0.90,,FIERYOUVEGONE I,AFTER YOU'VE GONE,669,1905,0,2481,8_02_AFTER_YOU_VE_GONE.png
AGJ.pdf,8,3,AGGRAVATIN' PAPA,0.68,,LGGRAVATNPAPA MA,AGGRAVATIN' PAPA (DON'T TRY TO TWO-TIME ME),1881,3442,0,2481,8_03_AGGRAVATIN_PAPA.png
AGJ.pdf,9,1,AGAIN,1.00,,AGAIN,AGAIN,0,876,0,2481,9_01_AGAIN.png
AGJ.pdf,9,2,AH LEU CHA,0.93,,AHLEUCHA,AH LEU CHA,852,1078,0,2481,9_02_AH_LEU_CHA.png
AGJ.pdf,9,3,AIN'T CHA GLAD,0.00,yes,ATETCHAGLAD,AIN'T CHA GLAD,1054,1932,0,2481,9_03_AIN_T_CHA_GLAD.png
AGJ.pdf,9,4,AIN'T MISBEHAVIN',0.75,,NTMSREHAVN,AIN'T MISBEHAVIN',1900,3475,0,2481,9_04_AIN_T_MISBEHAVIN.png
AGJ.pdf,10,1,AIREGIN,0.83,,,AIREGIN (NIGERIA),0,1209,0,2481,10_01_AIREGIN.png
AGJ.pdf,10,2,AIR MAIL SPECIAL,0.72,,ARMALSPECAL HTKEEP,AIR MAIL SPECIAL (GOOD ENOUGH TO KEEP),1176,1725,0,2481,10_02_AIR_MAIL_SPECIAL.png
AGJ.pdf,10,3,ALABAMA JUBILEE,0.89,,ALARAMAJUBLEE,ALABAMA JUBILEE,1689,3400,0,2481,10_03_ALABAMA_JUBILEE.png
AGJ.pdf,11,1,ALABAMY BOUND,0.96,,PALABAMY OUN,ALABAMY BOUND,0,1173,0,2481,11_01_ALABAMY_BOUND.png
AGJ.pdf,11,2,ALEXANDER'S RAGTIME BAND,0.95,,LEXANDERSRAGTMEBAND,ALEXANDER'S RAGTIME BAND,1137,2413,0,2481,11_02_ALEXANDER_S_RAGTIME_BAND.png
AGJ.pdf,11,3,ALL ALONE,0.78,,LLLEALONE O,ALL ALONE,2377,3351,0,2481,11_03_ALL_ALONE.png
AGJ.pdf,12,1,ALICE BLUE GOWN,0.00,yes,,ALICE BLUE GOWN,0,1056,0,2481,12_01_ALICE_BLUE_GOWN.png
AGJ.pdf,12,2,ALL GOD'S CHILLUN GOT RHYTHM,0.80,,KLLGODSCHLLUNGOTRIYTHM,ALL GOD'S CHILLUN GOT RHYTHM,1020,2070,0,2481,12_02_ALL_GOD_S_CHILLUN_GOT_RHYTHM.png
AGJ.pdf,12,3,ALL GOD'S CHILLUN GOT WINGS,0.71,,FLGODSHWLLUNGOTWGSSHAES HEAVENHEAVEN I,ALL GOD'S CHILLUN GOT WINGS,2046,2187,0,2481,12_03_ALL_GOD_S_CHILLUN_GOT_WINGS.png
AGJ.pdf,12,4,ALL I DO IS DREAM OF YOU,0.91,,LLDOSDREAMOFYOU,ALL I DO IS DREAM OF YOU,2163,3325,0,2481,12_04_ALL_I_DO_IS_DREAM_OF_YOU.png
AGJ.pdf,13,1,ALLIGATOR CRAWL,0.72,,LGAIOKCRAWL,ALLIGATOR CRAWL,0,1695,0,2481,13_01_ALLIGATOR_CRAWL.png
AGJ.pdf,13,2,ALL MY LIFE,0.62,,LFLFE,ALL MY LIFE,1671,2652,0,2481,13_02_ALL_MY_LIFE.png
AGJ.pdf,13,3,ALL OF ME,0.92,,,ALL OF ME,2628,3430,0,2481,13_03_ALL_OF_ME.png
AGJ.pdf,14,1,ALL OF YOU,0.71,,OFYOU,ALL OF YOU,0,879,0,2481,14_01_ALL_OF_YOU.png
AGJ.pdf,14,2,ALL OR NOTHING AT ALL,0.79,,LLORNOWWNGATALL F,ALL OR NOTHING AT ALL,846,2496,0,2481,14_02_ALL_OR_NOTHING_AT_ALL.png
AGJ.pdf,14,3,ALL TOO SOON,0.00,yes,,ALL TOO SOON,2466,3378,0,2481,14_03_ALL_TOO_SOON.png
AGJ.pdf,15,1,ALL THAT MEAT AND NO POTATOES,0.00,yes,,ALL THAT MEAT AND NO POTATOES,0,514,0,2481,15_01_ALL_THAT_MEAT_AND_NO_POTATOES.png
AGJ.pdf,15,2,ALL THE THINGS YOU ARE,0.94,,ALL THETHNGSOUARE,ALL THE THINGS YOU ARE,490,1584,0,2481,15_02_ALL_THE_THINGS_YOU_ARE.png
AGJ.pdf,15,3,ALL THE WRONGS YOU'VE DONE TO ME,0.83,,LTHEWRONGSYOUVEDONETOMEOFALLTHEWRONGS,ALL THE WRONGS YOU'VE DONE TO ME,1548,1689,0,2481,15_03_ALL_THE_WRONGS_YOU_VE_DONE_TO_ME.png
AGJ.pdf,15,4,ALL THROUGH THE NIGHT,0.91,,ALLTHROUGHTWEGHT,ALL THROUGH THE NIGHT,1665,3468,0,2481,15_04_ALL_THROUGH_THE_NIGHT.png
AGJ.pdf,16,1,ALMOST LIKE BEING IN LOVE,1.00,,MM,ALMOST LIKE BEING IN LOVE,0,729,0,2481,16_01_ALMOST_LIKE_BEING_IN_LOVE.png
AGJ.pdf,16,2,ALONE,0.95,,ALONE OF,ALONE,693,1564,0,2481,16_02_ALONE.png
AGJ.pdf,16,3,ALONE TOGETHER,1.00,,ALONETOGETHER,ALONE TOGETHER,1540,2491,0,2481,16_03_ALONE_TOGETHER.png
AGJ.pdf,16,4,"ALL RIGHT, OKAY, YOU WIN",0.91,,ALRGHTOKAYYOUWN,"ALL RIGHT, OKAY, YOU WIN",2458,3426,0,2481,16_04_ALL_RIGHT_OKAY_YOU_WIN.png
AGJ.pdf,17,1,ALWAYS,0.00,yes,,ALWAYS,0,891,0,2481,17_01_ALWAYS.png
AGJ.pdf,17,2,AMAPOLA,0.00,yes,J AMAPOLA,AMAPOLA (PRETTY LITTLE POPPY),859,1824,0,2481,17_02_AMAPOLA.png
AGJ.pdf,17,3,AMERICAN PATROL,0.89,,AMER LAT PATROL,AMERICAN PATROL,1791,3243,0,2481,17_03_AMERICAN_PATROL.png
AGJ.pdf,18,1,AM I BLUE,0.00,yes,,AM I BLUE,0,1177,0,2481,18_01_AM_I_BLUE.png
AGJ.pdf,18,2,AMONG MY SOUVENIRS,0.90,,AMONGWYSOUVENRS,AMONG MY SOUVENIRS,1153,2098,0,2481,18_02_AMONG_MY_SOUVENIRS.png
AGJ.pdf,18,3,ANCHORS AWEIGH,0.90,,ANCHORSAWEGL,ANCHORS AWEIGH,2074,3430,0,2481,18_03_ANCHORS_AWEIGH.png
AGJ.pdf,19,1,AND THE ANGELS SING,0.12,yes,L,AND THE ANGELS SING,0,1237,0,2481,19_01_AND_THE_ANGELS_SING.png
AGJ.pdf,19,2,ANGEL EYES,0.97,,LANGELEYES D,ANGEL EYES,1213,1821,0,2481,19_02_ANGEL_EYES.png
AGJ.pdf,19,3,ANGRY,1.00,,ANGRY,ANGRY,1785,3237,0,2481,19_03_ANGRY.png
AGJ.pdf,20,1,ANNIE LAURIE,0.00,yes,A,ANNIE LAURIE,0,1090,0,2481,20_01_ANNIE_LAURIE.png
AGJ.pdf,20,2,ANTHROPOLOGY,0.79,,ANTHROPALOGYRVNGROMARFFI,ANTHROPOLOGY (THRIVING FROM A RIFF),1066,1368,0,2481,20_02_ANTHROPOLOGY.png
AGJ.pdf,20,3,ANYTHING GOES,0.90,,ANYTHNGGQOES I,ANYTHING GOES,1344,2244,0,2481,20_03_ANYTHING_GOES.png
AGJ.pdf,20,4,APEX BLUES,0.76,,APEXALUES,APEX BLUES (BUMP IT),2218,3342,0,2481,20_04_APEX_BLUES.png
