source,page,index,title,conf,review,ocr_raw,alt_title,y0,y1,x0,x1,current_file
AGJ.pdf,7,1,AC-CENT-TCHU-ATE THE POSITIVE,0.98,,N H FHEOTIVE,AC-CENT-TCHU-ATE THE POSITIVE,0,844,0,2481,7_01_AC_CENT_TCHU_ATE_THE_POSITIVE.png
AGJ.pdf,7,2,ACHIN' HEARTED BLUES,0.79,,HMHEARTEDBLUES YOT,ACHIN' HEARTED BLUES,820,2676,0,2481,7_02_ACHIN_HEARTED_BLUES.png
AGJ.pdf,8,1,AFTERNOON IN PARIS,0.90,,A,AFTERNOON IN PARIS,0,684,0,2481,8_01_AFTERNOON_IN_PARIS.png
AGJ.pdf,8,2,AFTER YOU'VE GONE,0.90,,FTERYOUVEGONE Y,AFTER YOU'VE GONE,660,1914,0,2481,8_02_AFTER_YOU_VE_GONE.png
AGJ.pdf,8,3,AGGRAVATIN' PAPA,0.68,,LGGRAVATNPAPA MA,AGGRAVATIN' PAPA (DON'T TRY TO TWO-TIME ME),1890,3441,0,2481,8_03_AGGRAVATIN_PAPA.png
AGJ.pdf,9,1,AGAIN,1.00,,AGAIN,AGAIN,0,876,0,2481,9_01_AGAIN.png
AGJ.pdf,9,2,AIN'T CHA GLAD,0.00,yes,ATETCHAGLAD,AIN'T CHA GLAD,1054,1908,0,2481,9_02_AIN_T_CHA_GLAD.png
AGJ.pdf,9,3,AIN'T MISBEHAVIN',0.75,,NTMSREHAVN,AIN'T MISBEHAVIN',1884,3211,0,2481,9_03_AIN_T_MISBEHAVIN.png
AGJ.pdf,9,4,AIN'T SHE SWEET,0.07,yes,IIPUY ANTSHESWEET,AIN'T SHE SWEET (VOIR APRES AZURE),3187,3279,0,2481,9_04_AIN_T_SHE_SWEET.png
AGJ.pdf,10,1,AIREGIN,0.83,,,AIREGIN (NIGERIA),0,1195,0,2481,10_01_AIREGIN.png
AGJ.pdf,10,2,AIR MAIL SPECIAL,0.72,,ARMALSPECAL HTKEEP,AIR MAIL SPECIAL (GOOD ENOUGH TO KEEP),1171,1699,0,2481,10_02_AIR_MAIL_SPECIAL.png
